Code,Name,Panel,
folh1,Glutamate carboxypeptidase 2,Inflammation II,
fos,Proto-oncogene c-Fos,Oncology II,
foxj3,Forkhead box protein J3,Inflammation II,
frmd4b,FERM domain-containing protein 4B,Cardiometabolic II,
frmd7,FERM domain-containing protein 7,Neurology II,
fshb,Follitropin subunit beta,Cardiometabolic II,
fstl1,Follistatin-related protein 1,Cardiometabolic II,
ftcd,Formimidoyltransferase-cyclodeaminase,Neurology II,
fuom,Fucose mutarotase,Inflammation II,
fut1,"Galactoside alpha-(1,2)-fucosyltransferase 1",Oncology II,
fzd10,Frizzled-10,Neurology II,
fzd8,Frizzled-8,Neurology II,
gabarap,Gamma-aminobutyric acid receptor-associated protein,Oncology II,
gabarapl1,Gamma-aminobutyric acid receptor-associated protein-like 1,Oncology II,
gabra4,Gamma-aminobutyric acid receptor subunit alpha-4,Neurology II,
gad1,Glutamate decarboxylase 1,Oncology II,
gad2,Glutamate decarboxylase 2,Inflammation II,
gadd45b,Growth arrest and DNA damage-inducible protein GADD45 beta,Oncology II,
gadd45gip1,Growth arrest and DNA damage-inducible proteins-interacting protein 1,Cardiometabolic II,
gage2a,G antigen 2A,Oncology II,
galnt5,Polypeptide N-acetylgalactosaminyltransferase 5,Cardiometabolic II,
gamt,Guanidinoacetate N-methyltransferase (GAMT),Cardiometabolic II,
gapdh,Glyceraldehyde-3-phosphate dehydrogenase,Inflammation II,
gart,Trifunctional purine biosynthetic protein adenosine-3,Neurology II,
gas2,Growth arrest-specific protein 2,Oncology II,
gask1a,Golgi-associated kinase 1A,Cardiometabolic II,
gast,Gastrin,Neurology II,
gata3,Trans-acting T-cell-specific transcription factor GATA-3,Oncology II,
gatd3,,Cardiometabolic II,
gba,Lysosomal acid glucosylceramidase,Neurology II,
gbp1,Guanylate-binding protein 1,Neurology II,
gbp6,Guanylate-binding protein 6,Cardiometabolic II,
gc,Vitamin D-binding protein,Inflammation II,
gcc1,GRIP and coiled-coil domain-containing protein 1,Neurology II,
gchfr,GTP cyclohydrolase 1 feedback regulatory protein,Inflammation II,
gclm,Glutamate--cysteine ligase regulatory subunit,Cardiometabolic II,
get3,ATPase GET3,Cardiometabolic II,
gfral,GDNF family receptor alpha-like,Neurology II,
ggact,Gamma-glutamylaminecyclotransferase,Cardiometabolic II,
ggct,Gamma-glutamylcyclotransferase,Cardiometabolic II,
ghr,Growth hormone receptor,Inflammation II,
gid8,Glucose-induced degradation protein 8 homolog,Neurology II,
gigyf2,GRB10-interacting GYF protein 2,Neurology II,
gimap7,GTPase IMAP family member 7,Inflammation II,
gimap8,GTPase IMAP family member 8,Oncology II,
gip,Gastric inhibitory polypeptide,Cardiometabolic II,
gipc2,PDZ domain-containing protein GIPC2,Neurology II,
gipc3,PDZ domain-containing protein GIPC3,Oncology II,
gipr,Gastric inhibitory polypeptide receptor,Inflammation II,
git1,ARF GTPase-activating protein GIT1,Inflammation II,
gja8,Gap junction alpha-8 protein,Oncology II,
gla,Alpha-galactosidase A,Inflammation II,
gli2,Zinc finger protein GLI2,Inflammation II,
glipr1,Glioma pathogenesis-related protein 1,Oncology II,
glp1r,Glucagon-like peptide 1 receptor,Neurology II,
glrx5,"Glutaredoxin-related protein 5, mitochondrial",Inflammation II,
glyr1,Putative oxidoreductase GLYR1,Oncology II,
gm2a,Ganglioside GM2 activator,Cardiometabolic II,
gmfg,Glia maturation factor gamma,Cardiometabolic II,
gmpr2,GMP reductase 2,Inflammation II,
gnas,Neuroendocrine secretory protein 55,Neurology II,
gngt1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Neurology II,
gnpda1,Glucosamine-6-phosphate isomerase 1,Cardiometabolic II,
gnpda2,Glucosamine-6-phosphate isomerase 2,Inflammation II,
golga3,Golgin subfamily A member 3,Neurology II,
gorasp2,Golgi reassembly-stacking protein 2,Oncology II,
got1,"Aspartate aminotransferase, cytoplasmic",Cardiometabolic II,
gp1bb,Platelet glycoprotein Ib beta chain,Cardiometabolic II,
gp5,Platelet glycoprotein V,Inflammation II,
gpd1,Glycerol-3-phosphate dehydrogenase,Oncology II,
gpha2,Glycoprotein hormone alpha-2,Oncology II,
gpi,Glucose-6-phosphate isomerase,Inflammation II,
gpihbp1,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,Oncology II,
gpr101,Probable G-protein coupled receptor 101,Neurology II,
gpr158,Probable G-protein coupled receptor 158,Neurology II,
gpr15l,Protein GPR15L,Oncology II,
gprc5c,G-protein coupled receptor family C group 5 member C,Oncology II,
grhpr,Glyoxylate reductase/hydroxypyruvate reductase,Cardiometabolic II,
grik2,"Glutamate receptor ionotropic, kainate 2",Neurology II,
grin2b,"Glutamate receptor ionotropic, NMDA 2B",Neurology II,
grp,Gastrin-releasing peptide,Cardiometabolic II,
grsf1,G-rich sequence factor 1,Oncology II,
gsn,Gelsolin,Inflammation II,
gsr,"Glutathione reductase, mitochondrial",Inflammation II,
gstm4,Glutathione S-transferase Mu 4,Cardiometabolic II,
gstt2b,Glutathione S-transferase theta-2B,Neurology II,
gtf2ird1,General transcription factor II-I repeat domain-containing protein 1,Oncology II,
gtpbp2,GTP-binding protein 2,Neurology II,
gucy2c,Heat-stable enterotoxin receptor,Oncology II,
guk1,Guanylate kinase,Cardiometabolic II,
h2ap,Huntingtin-interacting protein M,Oncology II,
hadh,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",Cardiometabolic II,
hbz,Hemoglobin subunit zeta,Cardiometabolic II,
hcg22,Protein PBMUCL2,Cardiometabolic II,
hdac8,Histone deacetylase 8,Inflammation II,
hdac9,Histone deacetylase 9,Neurology II,
hddc2,5'-deoxynucleotidase HDDC2,Oncology II,
hdgfl2,Hepatoma-derived growth factor-related protein 2,Neurology II,
heg1,Protein HEG homolog 1,Inflammation II,
hepacam2,HEPACAM family member 2,Neurology II,
heph,Hephaestin,Cardiometabolic II,
hgfac,Hepatocyte growth factor activator,Inflammation II,
hhex,Hematopoietically-expressed homeobox protein HHEX,Neurology II,
hif1a,Hypoxia-inducible factor 1-alpha,Inflammation II,
hip1,Huntingtin-interacting protein 1,Cardiometabolic II,
hip1r,Huntingtin-interacting protein 1-related protein,Neurology II,
hjv,Hemojuvelin,Neurology II,
hla-a,"HLA class I histocompatibility antigen, A alpha chain",Neurology II,
hmcn2,Hemicentin-2,Inflammation II,
hmgcl,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",Cardiometabolic II,
hmgcs1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",Cardiometabolic II,
hmmr,Hyaluronan mediated motility receptor,Oncology II,
hnf1a,Hepatocyte nuclear factor 1-alpha,Neurology II,
hnrnpul1,Heterogeneous nuclear ribonucleoprotein U-like protein 1,Neurology II,
hpse,Heparanase,Cardiometabolic II,
hras,GTPase Hras,Oncology II,
hrc,Sarcoplasmic reticulum histidine-rich calcium-binding protein,Cardiometabolic II,
hrg,Histidine-rich glycoprotein,Inflammation II,
hs1bp3,HCLS1-binding protein 3,Cardiometabolic II,
hs6st2,Heparan-sulfate 6-O-sulfotransferase 2,Inflammation II,
hsbp1,Heat shock factor-binding protein 1,Cardiometabolic II,
hsd17b14,17-beta-hydroxysteroid dehydrogenase 14,Neurology II,
hsd17b3,Testosterone 17-beta-dehydrogenase 3,Cardiometabolic II,
hsdl2,Hydroxysteroid dehydrogenase-like protein 2,Cardiometabolic II,
hspa2,Heat shock-related 70 kDa protein 2,Oncology II,
htr1a,5-hydroxytryptamine receptor 1A,Neurology II,
htr1b,5-hydroxytryptamine receptor 1B,Neurology II,
id4,DNA-binding protein inhibitor ID-4,Oncology II,
ido1,"Indoleamine 2,3-dioxygenase 1",Cardiometabolic II,
ifi30,Gamma-interferon-inducible lysosomal thiol reductase (IFI30),Oncology II,
ifit1,Interferon-induced protein with tetratricopeptide repeats 1,Oncology II,
ifit3,Interferon-induced protein with tetratricopeptide repeats 3,Oncology II,
ifnar1,Interferon alpha/beta receptor 1,Oncology II,
ifnl2,Interferon lambda-2,Neurology II,
ifnw1,Interferon omega-1,Cardiometabolic II,
ift20,Intraflagellar transport protein 20 homolog,Neurology II,
igbp1,Immunoglobulin-binding protein 1,Neurology II,
igdcc3,Immunoglobulin superfamily DCC subclass member 3,Neurology II,
igdcc4,Immunoglobulin superfamily DCC subclass member 4,Cardiometabolic II,
igf2bp3,Insulin-like growth factor 2 mRNA-binding protein 3,Cardiometabolic II,
igfl4,Insulin growth factor-like family member 4,Inflammation II,
ighmbp2,DNA-binding protein SMUBP-2,Cardiometabolic II,
iglc2,Ig lambda-2 chain C regions (IGLC2),Inflammation II,
iglon5,IgLON family member 5,Oncology II,
igsf21,Immunoglobulin superfamily member 21,Cardiometabolic II,
igsf9,Protein turtle homolog A,Cardiometabolic II,
il12rb2,Interleukin-12 receptor subunit beta-2,Inflammation II,
il13ra2,Interleukin-13 receptor subunit alpha-2,Neurology II,
il20rb,Interleukin-20 receptor subunit beta,Inflammation II,
il21r,Interleukin-21 receptor,Inflammation II,
il22,Interleukin-22,Oncology II,
il25,Interleukin-25,Oncology II,
il2rg,Cytokine receptor common subunit gamma,Oncology II,
il3,Interleukin-3,Oncology II,
il31,Interleukin-31,Inflammation II,
il31ra,Interleukin-31 receptor subunit alpha,Inflammation II,
il36a,Interleukin-36 alpha,Inflammation II,
il36g,Interleukin-36 gamma,Inflammation II,
il9,Interleukin-9,Oncology II,
immt,MICOS complex subunit MIC60,Oncology II,
impact,Protein IMPACT,Neurology II,
impg1,Interphotoreceptor matrix proteoglycan 1,Neurology II,
inhbb,Inhibin beta B chain,Inflammation II,
inpp5d,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",Cardiometabolic II,
inpp5j,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A",Neurology II,
insl3,Insulin-like 3,Neurology II,
insl4,Early placenta insulin-like peptide,Oncology II,
insl5,Insulin-like peptide INSL5,Oncology II,
insr,Insulin receptor,Inflammation II,
ism2,Isthmin-2,Cardiometabolic II,
ist1,IST1 homolog,Oncology II,
itga2,Integrin alpha-2,Inflammation II,
itgal,Integrin alpha-L,Inflammation II,
itgax,Integrin alpha-X,Oncology II,
itgbl1,Integrin beta-like protein 1,Cardiometabolic II,
itih1,Inter-alpha-trypsin inhibitor heavy chain H1,Inflammation II,
itih4,Inter-alpha-trypsin inhibitor heavy chain H4,Inflammation II,
itih5,Inter-alpha-trypsin inhibitor heavy chain H5,Oncology II,
itpa,Inosine triphosphate pyrophosphatase,Cardiometabolic II,
itpr1,"Inositol 1,4,5-trisphosphate receptor type 1",Cardiometabolic II,
itprip,"Inositol 1,4,5-trisphosphate receptor-interacting protein",Neurology II,
izumo1,Izumo sperm-egg fusion protein 1,Oncology II,
jam3,Junctional adhesion molecule C,Inflammation II,
jmjd1c,Probable JmjC domain-containing histone demethylation protein 2C,Oncology II,
jpt2,Jupiter microtubule associated homolog 2,Oncology II,
kazn,Kazrin,Oncology II,
kcnc4,Potassium voltage-gated channel subfamily C member 4,Neurology II,
kcnh2,Potassium voltage-gated channel subfamily H member 2,Neurology II,
kctd5,BTB/POZ domain-containing protein KCTD5,Neurology II,
kdm3a,Lysine-specific demethylase 3A,Inflammation II,
khdc3l,KH domain-containing protein 3,Oncology II,
khk,Ketohexokinase,Cardiometabolic II,
kiaa0319,Dyslexia-associated protein KIAA0319,Neurology II,
kiaa1549,UPF0606 protein KIAA1549,Oncology II,
kiaa1549l,UPF0606 protein KIAA1549L,Oncology II,
kiaa2013,Uncharacterized protein KIAA2013,Oncology II,
kif1c,Kinesin-like protein KIF1C,Cardiometabolic II,
kif20b,Kinesin-like protein KIF20B,Neurology II,
kif22,Kinesin-like protein KIF22,Cardiometabolic II,
kir2dl2,Killer cell immunoglobulin-like receptor 2DL2,Oncology II,
kir2ds4,Killer cell immunoglobulin-like receptor 2DS4,Oncology II,
kir3dl2,Killer cell immunoglobulin-like receptor 3DL2,Oncology II,
kirrel1,Kin of IRRE-like protein 1,Neurology II,
klf4,Krueppel-like factor 4,Neurology II,
klhl41,Kelch-like protein 41,Neurology II,
klk15,Kallikrein-15,Oncology II,
klk3,Prostate-specific antigen,Cardiometabolic II,
klk7,Kallikrein-7,Inflammation II,
klkb1,Plasma kallikrein,Inflammation II,
klrc1,NKG2-A/NKG2-B type II integral membrane protein,Neurology II,
klrf1,Killer cell lectin-like receptor subfamily F member 1,Inflammation II,
klrk1,NKG2-D type II integral membrane protein,Neurology II,
krt17,"Keratin, type I cytoskeletal 17",Cardiometabolic II,
krt6c,"Keratin, type II cytoskeletal 6C",Cardiometabolic II,
krt8,"Keratin, type II cytoskeletal 8",Neurology II,
l3hypdh,Trans-3-hydroxy-L-proline dehydratase,Cardiometabolic II,
lacrt,Extracellular glycoprotein lacritin,Oncology II,
lama1,Laminin subunit alpha-1,Cardiometabolic II,
lamb1,Laminin subunit beta-1,Cardiometabolic II,
lamp1,Lysosome-associated membrane glycoprotein 1,Cardiometabolic II,
lamtor5,Ragulator complex protein LAMTOR5,Oncology II,
larp1,La-related protein 1,Oncology II,
lats1,Serine/threonine-protein kinase LATS1,Inflammation II,
lcat,Phosphatidylcholine-sterol acyltransferase,Inflammation II,
lcn15,Lipocalin-15,Neurology II,
lcp1,Plastin-2,Cardiometabolic II,
ldlrap1,Low density lipoprotein receptor adapter protein 1,Neurology II,
lect2,Leukocyte cell-derived chemotaxin-2,Cardiometabolic II,
leg1,Protein LEG1 homolog,Inflammation II,
lelp1,Late cornified envelope-like proline-rich protein 1,Neurology II,
leo1,RNA polymerase-associated protein LEO1,Neurology II,
letm1,Mitochondrial proton/calcium exchanger protein,Neurology II,
lgals3bp,Galectin-3-binding protein,Inflammation II,
lilra3,Leukocyte immunoglobulin-like receptor subfamily A member 3,Cardiometabolic II,
lilra4,Leukocyte immunoglobulin-like receptor subfamily A member 4,Cardiometabolic II,
lilra6,Leukocyte immunoglobulin-like receptor subfamily A member 6,Cardiometabolic II,
lipf,Gastric triacylglycerol lipase,Cardiometabolic II,
lmnb1,Lamin-B1,Oncology II,
lmnb2,Lamin-B2,Neurology II,
lmod1,Leiomodin-1,Neurology II,
lmod2,Leiomodin-2,Neurology II,
lonp1,"Lon protease homolog, mitochondrial",Cardiometabolic II,
lpa,Apolipoprotein(a),Inflammation II,
lpp,Lipoma-preferred partner,Cardiometabolic II,
lrch4,Leucine-rich repeat and calponin homology domain-containing protein 4,Cardiometabolic II,
lrfn2,Leucine-rich repeat and fibronectin type-III domain-containing protein 2,Neurology II,
lrg1,Leucine-rich alpha-2-glycoprotein,Inflammation II,
lrig3,Leucine-rich repeats and immunoglobulin-like domains protein 3,Inflammation II,
lrp2,Low-density lipoprotein receptor-related protein 2,Neurology II,
lrp2bp,LRP2-binding protein,Neurology II,
lrrc37a2,Leucine-rich repeat-containing protein 37A2,Oncology II,
lrrc38,Leucine-rich repeat-containing protein 38,Neurology II,
lrrc59,Leucine-rich repeat-containing protein 59,Cardiometabolic II,
lrrfip1,Leucine-rich repeat flightless-interacting protein 1,Oncology II,
lrtm1,Leucine-rich repeat and transmembrane domain-containing protein 1,Neurology II,
lrtm2,Leucine-rich repeat and transmembrane domain-containing protein 2,Neurology II,
lsm8,U6 snRNA-associated Sm-like protein LSm8,Oncology II,
ltb,Lymphotoxin-beta,Oncology II,
luzp2,Leucine zipper protein 2,Oncology II,
lypla2,Acyl-protein thioesterase 2,Neurology II,
lysmd3,LysM and putative peptidoglycan-binding domain-containing protein 3,Neurology II,
lyve1,Lymphatic vessel endothelial hyaluronic acid receptor 1 (LYVE1),Inflammation II,
lyzl2,Lysozyme-like protein 2,Oncology II,
lztfl1,Leucine zipper transcription factor-like protein 1,Inflammation II,
m6pr,Cation-dependent mannose-6-phosphate receptor,Cardiometabolic II,
mag,Myelin-associated glycoprotein,Neurology II,
magea3,Melanoma-associated antigen 3,Oncology II,
mamdc2,MAM domain-containing protein 2,Cardiometabolic II,
mamdc4,Apical endosomal glycoprotein,Oncology II,
man1a2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",Cardiometabolic II,
man2b2,Epididymis-specific alpha-mannosidase,Cardiometabolic II,
maneal,"Glycoprotein endo-alpha-1,2-mannosidase-like protein",Oncology II,
mansc4,MANSC domain-containing protein 4,Cardiometabolic II,
map1lc3a,Microtubule-associated proteins 1A/1B light chain 3A,Neurology II,
map1lc3b2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,Cardiometabolic II,
map2,Microtubule-associated protein 2,Neurology II,
map2k1,Dual specificity mitogen-activated protein kinase kinase 1,Oncology II,
mapk13,Mitogen-activated protein kinase 13,Oncology II,
mapkapk2,MAP kinase-activated protein kinase 2,Oncology II,
mapre3,Microtubule-associated protein RP/EB family member 3,Oncology II,
mars1,"Methionine--tRNA ligase, cytoplasmic",Inflammation II,
mbl2,Mannose-binding protein C  (MBL2),Inflammation II,
mcee,"Methylmalonyl-CoA epimerase, mitochondrial",Neurology II,
mcemp1,Mast cell-expressed membrane protein 1,Inflammation II,
mcts1,Malignant T-cell-amplified sequence 1,Oncology II,
mdh1,"Malate dehydrogenase, cytoplasmic",Inflammation II,
mdm1,Nuclear protein MDM1,Neurology II,
mecr,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial",Cardiometabolic II,
med21,Mediator of RNA polymerase II transcription subunit 21,Cardiometabolic II,
megf11,Multiple epidermal growth factor-like domains protein 11,Cardiometabolic II,
meltf,Melanotransferrin,Cardiometabolic II,
ment,Protein MENT,Inflammation II,
mep1a,Meprin A subunit alpha,Oncology II,
mfap3l,Microfibrillar-associated protein 3-like,Neurology II,
mfap4,Microfibril-associated glycoprotein 4,Inflammation II,
micall2,MICAL-like protein 2,Neurology II,
mindy1,Ubiquitin carboxyl-terminal hydrolase MINDY-1,Oncology II,
mink1,Misshapen-like kinase 1,Neurology II,
mki67,Proliferation marker protein Ki-67,Inflammation II,
mllt1,Protein ENL,Oncology II,
mmp15,Matrix metalloproteinase-15,Cardiometabolic II,
mmut,"Methylmalonyl-CoA mutase, mitochondrial",Cardiometabolic II,
mn1,Transcriptional activator MN1,Neurology II,
mnat1,CDK-activating kinase assembly factor MAT1,Oncology II,
mocs2,Molybdopterin synthase catalytic subunit,Inflammation II,
morc3,MORC family CW-type zinc finger protein 3,Neurology II,
morf4l1,Mortality factor 4-like protein 1,Oncology II,
morf4l2,Mortality factor 4-like protein 2,Oncology II,
morn4,MORN repeat-containing protein 4,Oncology II,
mprip,Myosin phosphatase Rho-interacting protein,Oncology II,
mrc1,Macrophage mannose receptor 1,Inflammation II,
mri1,Methylthioribose-1-phosphate isomerase,Neurology II,
mrpl24,"39S ribosomal protein L24, mitochondrial",Cardiometabolic II,
mrpl28,"39S ribosomal protein L28, mitochondrial",Neurology II,
mrpl52,"39S ribosomal protein L52, mitochondrial",Oncology II,
mrpl58,"Peptidyl-tRNA hydrolase ICT1, mitochondrial",Neurology II,
mrps16,"28S ribosomal protein S16, mitochondrial",Inflammation II,
mslnl,Mesothelin-like protein,Neurology II,
mst1,Hepatocyte growth factor-like protein,Inflammation II,
mtdh,Protein LYRIC,Inflammation II,
mthfd2,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",Neurology II,
mthfsd,Methenyltetrahydrofolate synthase domain-containing protein,Oncology II,
mtif3,"Translation initiation factor IF-3, mitochondrial",Oncology II,
mtr,Methionine synthase,Cardiometabolic II,
mtss1,Protein MTSS 1,Oncology II,
mtss2,Protein MTSS 2,Oncology II,
mtus1,Microtubule-associated tumor suppressor 1,Oncology II,
muc2,Mucin-2,Cardiometabolic II,
mucl3,Mucin-like protein 3,Oncology II,
mxra8,Matrix remodeling-associated protein 8,Inflammation II,
mybpc1,"Myosin-binding protein C, slow-type",Cardiometabolic II,
mybpc2,"Myosin-binding protein C, fast-type",Cardiometabolic II,
mycbp2,E3 ubiquitin-protein ligase MYCBP2,Neurology II,
mydgf,Myeloid-derived growth factor,Cardiometabolic II,
myh4,Myosin-4,Cardiometabolic II,
myh7b,Myosin-7B,Oncology II,
myh9,Myosin-9,Cardiometabolic II,
myl1,"Myosin light chain 1/3, skeletal muscle isoform",Cardiometabolic II,
myl3,Myosin light chain 3,Cardiometabolic II,
myl4,Myosin light chain 4,Cardiometabolic II,
myl6b,Myosin light chain 6B,Neurology II,
mylpf,"Myosin regulatory light chain 2, skeletal muscle isoform",Neurology II,
myo6,Unconventional myosin-VI,Neurology II,
myom1,Myomesin-1,Neurology II,
myom2,Myomesin-2,Cardiometabolic II,
myom3,Myomesin-3,Inflammation II,
naa10,N-alpha-acetyltransferase 10 (NAA10),Cardiometabolic II,
naa80,N-alpha-acetyltransferase 80,Neurology II,
nacc1,Nucleus accumbens-associated protein 1,Oncology II,
naga,Alpha-N-acetylgalactosaminidase,Inflammation II,
nagk,N-acetyl-D-glucosamine kinase,Cardiometabolic II,
nagpa,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Inflammation II,
nap1l4,Nucleosome assembly protein 1-like 4,Oncology II,
naprt,Nicotinate phosphoribosyltransferase,Neurology II,
nars1,"Asparagine--tRNA ligase, cytoplasmic",Neurology II,
ncr3lg1,Natural cytotoxicity triggering receptor 3 ligand 1,Oncology II,
ndst1,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1,Oncology II,
ndufa5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5,Inflammation II,
ndufb7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,Oncology II,
neb,Nebulin,Cardiometabolic II,
necap2,Adaptin ear-binding coat-associated protein 2,Cardiometabolic II,
nectin1,Nectin-1,Inflammation II,
nedd4l,E3 ubiquitin-protein ligase NEDD4-like,Inflammation II,
nedd9,Enhancer of filamentation 1,Inflammation II,
nek7,Serine/threonine-protein kinase Nek7,Oncology II,
nenf,Neudesin,Oncology II,
neo1,Neogenin,Neurology II,
nexn,Nexilin,Inflammation II,
nfat5,Nuclear factor of activated T-cells 5,Inflammation II,
nfe2,Transcription factor NF-E2 45 kDa subunit,Cardiometabolic II,
nfic,Nuclear factor 1 C-type,Neurology II,
nfkb1,Nuclear factor NF-kappa-B p105 subunit,Cardiometabolic II,
nfkb2,Nuclear factor NF-kappa-B p100 subunit,Oncology II,
nfu1,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial",Oncology II,
nfx1,Transcriptional repressor NF-X1,Cardiometabolic II,
nfya,Nuclear transcription factor Y subunit alpha,Cardiometabolic II,
ngfr,Tumor necrosis factor receptor superfamily member 16,Cardiometabolic II,
ngrn,Neugrin,Neurology II,
nhlrc3,NHL repeat-containing protein 3,Inflammation II,
nit1,Deaminated glutathione amidase,Cardiometabolic II,
nit2,Omega-amidase NIT2,Cardiometabolic II,
nlgn1,Neuroligin-1,Neurology II,
nlgn2,Neuroligin-2,Neurology II,
nme1,Nucleoside diphosphate kinase A,Inflammation II,
nmi,N-myc-interactor,Oncology II,
nmrk2,Nicotinamide riboside kinase 2,Oncology II,
nmt1,Glycylpeptide N-tetradecanoyltransferase 1,Neurology II,
nop56,Nucleolar protein 56,Cardiometabolic II,
nos2,"Nitric oxide synthase, inducible",Cardiometabolic II,
notch2,Neurogenic locus notch homolog protein 2,Cardiometabolic II,
npc2,NPC intracellular cholesterol transporter 2,Cardiometabolic II,
nphs1,Nephrin,Inflammation II,
nphs2,Podocin,Inflammation II,
npl,N-acetylneuraminate lyase,Cardiometabolic II,
npr1,Atrial natriuretic peptide receptor 1,Cardiometabolic II,
nptx2,Neuronal pentraxin-2,Cardiometabolic II,
nrgn,Neurogranin,Inflammation II,
nrn1,Neuritin,Neurology II,
nrxn3,Neurexin-3,Neurology II,
nt5c,"5'(3')-deoxyribonucleotidase, cytosolic type",Cardiometabolic II,
nt5c1a,Cytosolic 5'-nucleotidase 1A,Neurology II,
nubp1,Cytosolic Fe-S cluster assembly factor NUBP1,Oncology II,
nudt10,Diphosphoinositol polyphosphate phosphohydrolase 3-alpha,Cardiometabolic II,
nudt15,Nucleotide triphosphate diphosphatase NUDT15,Cardiometabolic II,
nudt16,U8 snoRNA-decapping enzyme,Oncology II,
numb,Protein numb homolog,Inflammation II,
nup50,Nuclear pore complex protein Nup50,Cardiometabolic II,
nxpe4,NXPE family member 4,Cardiometabolic II,
nxph3,Neurexophilin-3,Inflammation II,
ocln,Occludin,Neurology II,
ofd1,Oral-facial-digital syndrome 1 protein,Oncology II,
oga,Protein O-GlcNAcase,Oncology II,
ogt,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,Oncology II,
olfm4,Olfactomedin-4,Inflammation II,
omp,Olfactory marker protein,Neurology II,
ophn1,Oligophrenin-1,Neurology II,
oplah,5-oxoprolinase,Cardiometabolic II,
orm1,Alpha-1-acid glycoprotein 1,Inflammation II,
osbpl2,Oxysterol-binding protein-related protein 2,Neurology II,
ostn,Osteocrin,Neurology II,
otoa,Otoancorin,Neurology II,
otud6b,Deubiquitinase OTUD6B,Oncology II,
otud7b,OTU domain-containing protein 7B,Neurology II,
oxct1,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",Cardiometabolic II,
pacs2,Phosphofurin acidic cluster sorting protein 2,Cardiometabolic II,
pafah1b3,Platelet-activating factor acetylhydrolase IB subunit alpha1,Neurology II,
pafah2,"Platelet-activating factor acetylhydrolase 2, cytoplasmic",Oncology II,
pagr1,PAXIP1-associated glutamate-rich protein 1,Cardiometabolic II,
paip2b,Polyadenylate-binding protein-interacting protein 2B,Oncology II,
palld,Palladin,Inflammation II,
palm,Paralemmin-1,Oncology II,
palm2,Paralemmin-2,Neurology II,
palm3,Paralemmin-3,Cardiometabolic II,
pard3,Partitioning defective 3 homolog,Oncology II,
paxx,Protein PAXX,Inflammation II,
pbk,Lymphokine-activated killer T-cell-originated protein kinase,Oncology II,
pbxip1,Pre-B-cell leukemia transcription factor-interacting protein 1,Oncology II,
pcare,Photoreceptor cilium actin regulator,Neurology II,
pcbd1,Pterin-4-alpha-carbinolamine dehydratase,Inflammation II,
pcbp2,Poly(rC)-binding protein 2,Neurology II,
pcdh12,Protocadherin-12,Neurology II,
pcdh7,Protocadherin-7,Oncology II,
pcdh9,Protocadherin-9,Oncology II,
pcdhb15,Protocadherin beta-15,Oncology II,
pcna,Proliferating cell nuclear antigen,Oncology II,
pcsk7,Proprotein convertase subtilisin/kexin type 7,Oncology II,
pcyt2,Ethanolamine-phosphate cytidylyltransferase,Oncology II,
pdap1,28 kDa heat- and acid-stable phosphoprotein,Cardiometabolic II,
pdcl2,Phosducin-like protein 2,Oncology II,
pde1c,"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C",Oncology II,
pde4d,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",Cardiometabolic II,
pde5a,"cGMP-specific 3',5'-cyclic phosphodiesterase",Inflammation II,
pdia2,Protein disulfide-isomerase A2,Oncology II,
pdia3,Protein disulfide-isomerase A3,Inflammation II,
pdia4,Protein disulfide-isomerase A4,Cardiometabolic II,
pdia5,Protein disulfide-isomerase A5,Oncology II,
pdlim5,PDZ and LIM domain protein 5,Neurology II,
pdrg1,p53 and DNA damage-regulated protein 1,Neurology II,
pdxdc1,Pyridoxal-dependent decarboxylase domain-containing protein 1,Oncology II,
pdzd2,PDZ domain-containing protein 2,Cardiometabolic II,
pdzk1,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,Inflammation II,
pecr,Peroxisomal trans-2-enoyl-CoA reductase,Cardiometabolic II,
penk,Proenkephalin-A,Inflammation II,
pepd,Xaa-Pro dipeptidase,Inflammation II,
per3,Period circadian protein homolog 3,Inflammation II,
pf4,Platelet factor 4,Inflammation II,
pfdn4,Prefoldin subunit 4,Oncology II,
