Code,Name,Panel,
casp3,Caspase-3  (CASP-3),Cardiometabolic,
casp8,Caspase-8 (CASP-8 ),Oncology,
cblif,Gastric intrinsic factor (GIF) ,Cardiometabolic,
cbln4,Cerebellin-4 (CBLN4),Oncology,
cc2d1a,Coiled-coil and C2 domain-containing protein 1A ,Neurology,
ccdc80,Coiled-coil domain-containing protein 80 (CCDC80),Cardiometabolic,
ccl11,Eotaxin (CCL11),Inflammation,
ccl13,Monocyte chemotactic protein 4 (MCP-4),Inflammation,
ccl14,C-C motif chemokine 14 (CCL14),Cardiometabolic,
ccl15,C-C motif chemokine 15 (CCL15),Cardiometabolic,
ccl16,C-C motif chemokine 16 (CCL16),Cardiometabolic,
ccl17,C-C motif chemokine 17 (CCL17),Inflammation,
ccl18,C-C motif chemokine 18 (CCL18),Cardiometabolic,
ccl19,C-C motif chemokine 19 (CCL19),Neurology,
ccl2,Monocyte chemotactic protein 1  (MCP-1),Neurology,
ccl20,C-C motif chemokine 20 (CCL20),Inflammation,
ccl21,C-C motif chemokine 21 (CCL21),Inflammation,
ccl22,C-C motif chemokine 22 ,Inflammation,
ccl23,C-C motif chemokine 23 (CCL23),Inflammation,
ccl24,C-C motif chemokine 24 (CCL24) ,Inflammation,
ccl25,C-C motif chemokine 25 (CCL25),Inflammation,
ccl26,C-C motif chemokine 26 ,Inflammation,
ccl27,C-C motif chemokine 27 (CCL27),Cardiometabolic,
ccl28,C-C motif chemokine 28 (CCL28),Inflammation,
ccl3,C-C motif chemokine 3  (CCL3),Inflammation,
ccl4,C-C motif chemokine 4 (CCL4 ),Inflammation,
ccl5,C-C motif chemokine 5 (CCL5),Cardiometabolic,
ccl7,Monocyte chemotactic protein 3 (MCP-3),Inflammation,
ccl8,Monocyte chemotactic protein 2 (MCP-2),Oncology,
ccn1,Protein CYR61 (CYR61),Oncology,
ccn2,CCN family member 2 ,Inflammation,
ccn3,Protein NOV homolog (NOV),Cardiometabolic,
ccn4,WNT1-inducible-signaling pathway protein 1 (WISP-1),Oncology,
ccn5,"WNT1-inducible-signaling pathway protein 2/CCN family member 5 (CCN5, alias WISP2)",Neurology,
ccs,Copper chaperone for superoxide dismutase ,Neurology,
cct5,T-complex protein 1 subunit epsilon (CCT5),Oncology,
cd109,CD109 antigen (CD109),Neurology,
cd14,Monocyte differentiation antigen CD14 ,Cardiometabolic,
cd160,CD160 antigen (CD160),Inflammation,
cd163,Scavenger receptor cysteine-rich type 1 protein M130 (CD163),Cardiometabolic,
cd164,Sialomucin core protein 24 (CD164),Neurology,
cd177,CD177 antigen (CD177),Neurology,
cd1c,T-cell surface glycoprotein CD1c (CD1C),Oncology,
cd200,OX-2 membrane glycoprotein (CD200),Inflammation,
cd200r1,Cell surface glycoprotein CD200 receptor 1 (CD200R1),Inflammation,
cd207,C-type lectin domain family 4 member K (CD207),Oncology,
cd209,CD209 antigen (CD209),Cardiometabolic,
cd22,B-cell receptor CD22 (CD22),Inflammation,
cd244,Natural killer cell receptor 2B4 (CD244),Inflammation,
cd27,CD27 antigen (CD27),Oncology,
cd274,Programmed cell death 1 ligand 1 (PD-L1),Neurology,
cd276,CD276 antigen ,Inflammation,
cd28,T-cell-specific surface glycoprotein CD28 (CD28),Oncology,
cd2ap,CD2-associated protein (CD2AP),Cardiometabolic,
cd300c,CMRF35-like molecule 6 (CLM-6),Neurology,
cd300e,CMRF35-like molecule 2 (CD300E),Oncology,
cd300lf,CMRF35-like molecule 1 (CLM-1),Oncology,
cd300lg,CMRF35-like molecule 9 (CD300LG),Neurology,
cd302,CD302 antigen (CD302),Oncology,
cd33,Myeloid cell surface antigen CD33 (CD33),Oncology,
cd34,Hematopoietic progenitor cell antigen CD34 ,Neurology,
cd38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (CD38),Oncology,
cd4,T-cell surface glycoprotein CD4 (CD4) ,Inflammation,
cd40,CD40L receptor (CD40),Inflammation,
cd40lg,CD40 ligand (CD40-L),Inflammation,
cd46,Membrane cofactor protein (CD46),Cardiometabolic,
cd48,CD48 antigen (CD48),Inflammation,
cd5,T-cell surface glycoprotein CD5 (CD5),Oncology,
cd55,Complement decay-accelerating factor ,Cardiometabolic,
cd58,Lymphocyte function-associated antigen 3 (CD58),Inflammation,
cd59,CD59 glycoprotein (CD59),Cardiometabolic,
